Date,Symbols,Close,High,Low,Open,Volume
2015-01-02,DIA,158.35299999999998,159.592,157.543,159.042,5613154.5604902
2015-01-02,SPY,179.005,180.26,177.91,179.80200000000002,139374146.16525
2015-01-02,MCHI,44.997,45.4808,44.9171,45.401,280025.15461399
2015-01-02,QQQ,96.744,97.9248,96.26899999999999,97.5195,33316211.029787
2015-01-02,AAPL,24.6438,25.1181,24.1994,25.1061,236001300.43625
2015-01-02,BABA,103.6,104.72,102.52,104.24,12296223.0
2015-01-02,TSLA,14.6207,14.8833,14.2173,14.857999999999999,71461545.0
2015-01-02,META,78.45,78.93,77.7,78.58,18168609.0
2015-01-02,XOM,64.2394,64.3943,63.5356,63.6993,14766997.999631
2015-01-02,AMZN,15.425999999999998,15.7375,15.347999999999999,15.629000000000001,55761020.0
2015-01-02,GOOGL,26.4775,26.79,26.394000000000002,26.63,26553300.0
2015-01-05,DIA,155.684,157.743,155.35399999999998,157.613,7525577.9673341
2015-01-05,SPY,175.769,178.049,175.46099999999998,177.9,194578818.93168
2015-01-05,MCHI,44.9361,45.3392,44.8453,45.2913,310775.77016525
2015-01-05,QQQ,95.3138,96.4237,95.0563,96.3159,38848203.302905
2015-01-05,AAPL,23.9507,24.484,23.761999999999997,24.4061,285067887.16078997
2015-01-05,BABA,101.0,103.02,99.9,102.76,18332852.0
2015-01-05,TSLA,14.005999999999998,14.4333,13.8107,14.3,80488110.0
2015-01-05,META,77.19,79.25,76.86,77.98,26422088.0
2015-01-05,XOM,62.4817,63.9433,61.9366,63.7375,26736742.141746
2015-01-05,AMZN,15.1095,15.419,15.0425,15.350999999999999,55482240.0
2015-01-05,GOOGL,25.973000000000003,26.3995,25.8875,26.3575,41141780.0
2015-01-06,DIA,154.344,156.274,153.395,155.884,11378136.538622
2015-01-06,SPY,174.12599999999998,176.636,173.27,176.078,240000962.97642997
2015-01-06,MCHI,44.5051,45.0768,44.3265,44.986999999999995,154181.07452414
2015-01-06,QQQ,94.0442,95.6282,93.624,95.4595,70417769.34820999
2015-01-06,AAPL,23.9527,24.2154,23.5832,24.0426,291706662.0032
2015-01-06,BABA,103.32,103.85,100.11,101.25,15711408.0
2015-01-06,TSLA,14.0853,14.28,13.614,14.004000000000001,93924045.0
2015-01-06,META,76.15,77.59,75.36,77.23,27384634.0
2015-01-06,XOM,62.1503,63.2601,61.6024,62.4493,24082760.677476
2015-01-06,AMZN,14.7645,15.15,14.619000000000002,15.112,70370940.0
2015-01-06,GOOGL,25.331999999999997,26.0605,25.2775,26.025,54634560.0
2015-01-07,DIA,156.314,156.504,155.134,155.694,6229329.9926400995
2015-01-07,SPY,176.267,176.636,175.032,175.52,143795833.48395
2015-01-07,MCHI,45.6415,45.7133,45.3212,45.4459,221113.95547419
2015-01-07,QQQ,95.2579,95.4795,94.4455,94.676,39978439.691233
2015-01-07,AAPL,24.2923,24.3841,24.0476,24.1674,177745042.44486
2015-01-07,BABA,102.13,104.74,102.03,104.59,11045665.0
2015-01-07,TSLA,14.0633,14.3187,13.9853,14.2233,44514750.0
2015-01-07,META,76.15,77.36,75.82,76.76,22036683.0
2015-01-07,XOM,62.7807,63.3071,62.2807,62.7317,19638991.772335
2015-01-07,AMZN,14.921,15.064,14.7665,14.875,52805980.0
2015-01-07,GOOGL,25.2575,25.5745,25.1825,25.5475,46916460.0
2015-01-08,DIA,159.15200000000002,159.332,157.743,157.793,8047480.401146901
2015-01-08,SPY,179.423,179.613,177.731,177.75099999999998,168863856.78531
2015-01-08,MCHI,46.0994,46.2331,45.9747,45.9747,110942.37529502
2015-01-08,QQQ,97.0994,97.279,95.9605,96.0673,42773727.524684995
2015-01-08,AAPL,25.224,25.2839,24.497,24.6218,263226242.96528998
2015-01-08,BABA,105.03,105.34,102.68,102.95,12933168.0
2015-01-08,TSLA,14.0413,14.2533,14.0007,14.1873,51634560.0
2015-01-08,META,78.18,78.23,76.08,76.74,23949974.0
2015-01-08,XOM,63.8228,63.8532,62.9748,63.1483,22378855.067828
2015-01-08,AMZN,15.023,15.157,14.8055,15.0295,61751920.0
2015-01-08,GOOGL,25.3455,25.375,24.750999999999998,25.058000000000003,73243380.0
2015-01-09,DIA,157.753,159.422,157.243,159.342,7465982.6821268005
2015-01-09,SPY,177.96,179.842,177.333,179.822,181961364.70299998
2015-01-09,MCHI,45.9467,46.287,45.7941,46.2411,1157212.047798
2015-01-09,QQQ,96.4326,97.4237,95.8707,97.3938,44054504.729540996
2015-01-09,AAPL,25.2509,25.5225,24.8485,25.3977,238170067.79807997
2015-01-09,BABA,103.02,105.3,102.89,105.24,10218707.0
2015-01-09,TSLA,13.7773,13.9987,13.664000000000001,13.927999999999999,70022775.0
2015-01-09,META,77.74,78.62,77.2,78.2,21151548.0
2015-01-09,XOM,63.7375,64.207,63.2306,63.8748,20936155.977978
2015-01-09,AMZN,14.8465,15.1435,14.834000000000001,15.074000000000002,51843600.0
2015-01-09,GOOGL,25.035999999999998,25.43,24.9325,25.409000000000002,41997240.0
2015-01-12,DIA,156.933,158.083,156.214,157.923,4833634.824291
2015-01-12,SPY,176.56599999999997,178.24900000000002,175.919,178.079,165682530.53817
2015-01-12,MCHI,45.5277,45.9288,45.4459,45.849,177772.01580692
2015-01-12,QQQ,95.4306,96.7341,95.191,96.6273,36305027.152366996
2015-01-12,AAPL,24.6238,25.3877,24.5219,25.3837,220147081.57683998
2015-01-12,BABA,101.62,103.36,101.21,103.2,7990758.0
2015-01-12,TSLA,13.4807,13.6313,13.2833,13.5367,89253675.0
2015-01-12,META,76.72,78.0,76.21,77.84,19173434.0
2015-01-12,XOM,62.5101,63.2082,62.1562,63.1405,21929746.531425
2015-01-12,AMZN,14.5705,14.9255,14.464,14.898,68417960.0
2015-01-12,GOOGL,24.853,25.014,24.5455,24.975,57138760.0
2015-01-13,DIA,156.683,159.392,155.554,158.153,11135242.483044
2015-01-13,SPY,176.06799999999998,179.055,174.72400000000002,177.86,246193744.44775
2015-01-13,MCHI,46.0445,46.4745,45.6335,46.287,483911.98959926
